,open,high,low,close,volume,Symbol,MA_10,MA_50,RSI,MACD,Signal_Line
2025-03-12,382.95,385.2165,378.9507,383.27,24253567,MSFT,390.17199999999997,414.2166,28.584462982273195,-8.970371467991129,-7.820151613349298
2024-10-16,164.53,165.8,163.74,165.16,16406030,GOOGL,367.435,408.9092,7.643511902687251,-26.390747177622984,-11.534270726204035
2024-10-17,165.73,166.37,162.76,162.93,21453395,GOOGL,344.029,403.6712,7.696627241778685,-39.91633216747556,-17.21068301445834
2024-10-18,163.19,164.71,163.08,163.42,19757661,GOOGL,321.52200000000005,398.5096,8.026636116282404,-50.019325169012745,-23.772411445369222
2024-10-21,162.95,164.5,162.62,164.07,20946455,GOOGL,299.068,393.41939999999994,7.63644207952828,-57.3129028748437,-30.480509731264117
2024-10-22,162.98,165.77,162.98,165.14,16568121,GOOGL,275.47999999999996,388.25520000000006,8.201904341752126,-62.288749762604766,-36.84215773753225
2024-10-23,164.76,165.82,161.925,162.78,18280518,GOOGL,252.06900000000002,382.9538,6.613315549627629,-65.66562410757308,-42.606851011540414
2024-10-24,162.83,163.33,161.01,162.72,22412527,GOOGL,229.01,377.7608,6.826787011894268,-67.56778350482662,-47.599037510197654
2024-10-25,163.67,165.59,163.42,165.27,19828884,GOOGL,207.52100000000002,372.575,7.684729064039388,-68.08465729464262,-51.696161467086654
2024-10-28,168.75,168.75,163.95,166.72,32138641,GOOGL,186.148,367.5304,3.684668300782775,-67.59805234598403,-54.876539642866135
2024-10-29,167.73,170.38,167.0896,169.68,42169025,GOOGL,164.789,362.5802,4.877467529888378,-66.21033562158215,-57.14329883860934
2024-10-30,180.68,182.02,174.0599,174.46,68890787,GOOGL,165.719,357.756,6.743882673834818,-63.98724889310111,-58.51208884950769
2024-10-31,173.13,176.82,171.0,171.11,44768981,GOOGL,166.537,352.652,7.015668051157618,-61.783551326421076,-59.16638134489037
2024-11-01,170.07,172.32,168.88,171.29,31796477,GOOGL,167.324,347.5862,6.973586768699079,-59.33856261946184,-59.200817599804665
2024-11-04,169.93,170.73,168.011,169.24,21492744,GOOGL,167.841,342.39039999999994,5.831854389368104,-56.910283004385946,-58.742710680720926
2024-11-05,169.43,170.53,168.84,169.74,18242050,GOOGL,168.301,337.2152,59.27876823338741,-54.319348456911825,-57.858038235959114
2024-11-06,173.8,176.94,173.5,176.51,33695538,GOOGL,169.674,331.8214,73.23750855578375,-51.13033308829924,-56.51249720642714
2024-11-07,177.41,181.08,177.19,180.75,25352939,GOOGL,171.477,326.5022,76.28146800121328,-47.71090129706943,-54.752178024555604
2024-11-08,180.645,180.9,178.08,178.35,22006182,GOOGL,172.785,321.18800000000005,70.5645161290323,-44.67959831195125,-52.73766208203473
2024-11-11,178.58,180.545,178.47,180.35,17450354,GOOGL,174.148,316.1038,71.3323983169706,-41.63593245965697,-50.51731615755918
2024-11-12,179.82,182.49,179.39,181.62,25134905,GOOGL,175.342,310.79220000000004,77.25694444444447,-38.675499869287876,-48.14895289990493
2024-11-13,180.46,180.96,178.54,178.88,23184003,GOOGL,175.78400000000002,305.5232,71.69709989258862,-36.133901687439845,-45.745942657411916
2024-11-14,178.28,178.82,174.3218,175.58,31007457,GOOGL,176.231,300.735,63.56936035798896,-33.99408656847129,-43.395571439623794
2024-11-15,173.73,174.14,171.22,172.49,32504649,GOOGL,176.351,295.8836,57.2798385061822,-32.17669197020851,-41.15179554574074
2024-11-18,173.42,175.438,172.9,175.3,20206613,GOOGL,176.957,291.1712,57.117527862208725,-30.161961820911927,-38.95382880077498
2024-11-19,173.72,178.87,173.56,178.12,23434925,GOOGL,177.79500000000002,286.48620000000005,54.8773987206823,-28.014786213105083,-36.766020283241005
2024-11-20,177.34,177.675,173.78,175.98,18997111,GOOGL,177.74200000000002,281.74,56.706141558799196,-26.1839815492894,-34.64961253645069
2024-11-21,173.9,174.13,163.7,167.63,59734379,GOOGL,176.43,276.7762,45.885791366906474,-25.117294344883476,-32.74314889813725
2024-11-22,165.85,166.46,163.9,164.76,38604587,GOOGL,175.071,271.8764,45.05518763796908,-24.224279648042568,-31.039375048118316
2024-11-25,166.09,168.63,165.6072,167.65,33135263,GOOGL,173.801,266.985,47.808764940239044,-23.018022781309156,-29.435104594756485
2024-11-26,167.63,169.82,167.58,169.12,20486720,GOOGL,172.551,262.1386,41.28332153809863,-21.693371130377756,-27.88675790188074
